"Nume Prenume","Institutie","Functie","Localitate","Judet","Data completare declaratie","Tip declaratie"
"Anton E Nicoleta","Directia Generala De Asistenta Sociala Si Protectia Copilului","Consilier superior","Adancata","Suceava","13.05.2022","Declaraţie de avere"
"Solonar VM Ciprian Florin","Consiliul Judetean Suceava","Consilier județean","Adancata","Suceava","10.06.2022","Declaraţie de avere"
"ANTON V MUGUREL","Unitatea Militara 02570","Comandant unitate","Adancata","Suceava","12.05.2022","Declaraţie de avere"
"Zbera M Felicia","Directia Generala Regionala A Finantelor Publice Iasi","Inspector superior","Adancata","Suceava","05.05.2022","Declaraţie de avere"
"Macovei P Maricel","Directia Judeteana De Evidenta A Persoanelor","Șef serviciu","Adancata","Suceava","16.05.2022","Declaraţie de avere"
"Aparaschivei V Mărioara","Directia Generala Regionala A Finantelor Publice Iasi","Inspector superior","Adancata","Suceava","05.05.2022","Declaraţie de avere"
"Nicolescu I Andreea Gabriela","Comuna Maia","Consilier Asistent","Adancata","Ialomita","14.06.2022","Declaraţie de avere"
"Anton M Florin","Agentia Pentru Finantarea Investitiilor Rurale","Consilier","Adancata","Suceava","10.03.2022","Declaraţie de avere"
"Ivan I Cateluta","Comuna Draganesti","Inspector","Adancata","Ialomita","06.06.2022","Declaraţie de avere"
"Vornicu I Lăcrămioara","Comuna Adancata","Consilier local","Adancata","Suceava","13.05.2022","Declaraţie de avere"
"Ursăciuc T Dumitru","Comuna Adancata","Consilier local","Adancata","Suceava","12.05.2022","Declaraţie de avere"
"Șfabu H Sorin-Costel","Comuna Adancata","Consilier local","Adancata","Suceava","18.05.2022","Declaraţie de avere"
"Spătaru L Gelu","Comuna Adancata","Consilier local","Adancata","Suceava","18.05.2022","Declaraţie de avere"
"Rusu C Silivestru","Comuna Adancata","Consilier local","Adancata","Suceava","13.05.2022","Declaraţie de avere"
"Ichim C Mihaela","Comuna Adancata","Consilier local","Adancata","Suceava","16.05.2022","Declaraţie de avere"
"Ceobanu I. Marian-Viorel","Comuna Adancata","Consilier local","Adancata","Suceava","26.05.2022","Declaraţie de avere"
"Aghiniței V Dumitru","Comuna Adancata","Consilier local","Adancata","Suceava","12.05.2022","Declaraţie de avere"
"Moisa C Iustina Jenița","Comuna Adancata","Consilier superior","Adancata","Suceava","06.05.2022","Declaraţie de avere"
"Reziuc I Elena","Comuna Adancata","Consilier superior","Adancata","Suceava","03.06.2022","Declaraţie de avere"
"Loghin B Petronela-Sabina","Comuna Adancata","Consilier Principal","Adancata","Suceava","23.05.2022","Declaraţie de avere"
"Grosu V Tatiana-Lenuța","Comuna Adancata","Consilier superior","Adancata","Suceava","10.05.2022","Declaraţie de avere"
"Cucu T Viorel","Comuna Adancata","Primar","Adancata","Suceava","10.05.2022","Declaraţie de avere"
"Cucu F Florina-Crinela","Comuna Adancata","Consilier debutant","Adancata","Suceava","19.05.2022","Declaraţie de avere"
"CIRCU N Valentina","Comuna Adancata","Consilier superior","Adancata","Suceava","19.05.2022","Declaraţie de avere"
"Ciornei GV Emilia-Roxana","Comuna Adancata","Consilier debutant","Adancata","Suceava","11.05.2022","Declaraţie de avere"
"Alucăi I Gheorghe","Comuna Adancata","Viceprimar","Adancata","Suceava","12.05.2022","Declaraţie de avere"
"Afilipoaie V Paraschiva","Comuna Adancata","Consilier superior","Adancata","Suceava","03.05.2022","Declaraţie de avere"
"Sandu G Alexandrina","Comuna Hantesti","Bibliotecar","Adancata","Suceava","30.05.2022","Declaraţie de avere"
"Ivan I Tatiana","Comuna Maia","Referent Superior","Adancata","Ialomita","08.06.2022","Declaraţie de avere"
"Neagu P Daniela","Comuna Maia","Inspector superior","Adancata","Ialomita","09.06.2022","Declaraţie de avere"
"Pășnicuțu I Anca Elena","Comuna Adancata","Consilier local","Adancata","Suceava","18.05.2022","Declaraţie de avere"
"Filip D Dimitrie-Gerard","Directia Generala De Asistenta Sociala Si Protectia Copilului A Judetului Suceava","Consilier superior","Adancata","Suceava","27.05.2022","Declaraţie de avere"
"Blaga V Iulia-Ramona","Ministerul Apararii Nationale","SEF TURA","Adancata","Suceava","08.06.2022","Declaraţie de avere"
"FURTOS O TEODOR","Comuna Arbore","Consilier superior","Adancata","Suceava","11.04.2022","Declaraţie de avere"
