"Nume Prenume","Institutie","Functie","Localitate","Judet","Data completare declaratie","Tip declaratie"
"GHEORGHE I MARIN","Comuna Adunatii Copaceni","Consilier local","Adunatii-Copaceni","Giurgiu","06.06.2022","Declaraţie de avere"
"Schiopu C Gabriela","Comuna Adunatii Copaceni","Consilier Principal","Adunatii-Copaceni","Giurgiu","23.05.2022","Declaraţie de avere"
"Schiopu D Daniela","Comuna Adunatii Copaceni","Consilier superior","Adunatii-Copaceni","Giurgiu","19.05.2022","Declaraţie de avere"
"Ene E Aurel","Comuna Adunatii Copaceni","Consilier Asistent","Adunatii-Copaceni","Giurgiu","26.05.2022","Declaraţie de avere"
"ROMAN M ADRIAN","Directia Generala Regionala A Finantelor Publice Bucuresti","Inspector superior","Adunatii-Copaceni","Giurgiu","19.05.2022","Declaraţie de avere"
"DUMITRU V. Lucian","Secretariatul General Al Guvernului","Inspector guvernamental","Adunatii-Copaceni","Giurgiu","15.06.2022","Declaraţie de avere"
"MODROI G MIHAELA","Comuna Adunatii Copaceni","Consilier superior","Adunatii-Copaceni","Giurgiu","23.05.2022","Declaraţie de avere"
"Burada A Stefan","Comuna Adunatii Copaceni","Consilier local","Adunatii-Copaceni","Giurgiu","30.05.2022","Declaraţie de avere"
"IACOB I CONSTANTIN","Baza De Aprovizionare, Gospodarire Si Reparatii","Agent principal","Adunatii-Copaceni","Giurgiu","31.05.2022","Declaraţie de avere"
"Petre S Alexandru-Laurențiu","Directia Sanitar-veterinara Si Pentru Siguranta Alimentelor Bucuresti","Sofer","Adunatii-Copaceni","Giurgiu","07.06.2022","Declaraţie de avere"
"Daiteanu N Adriana-Ilona","Institutul National De Statistica","Șef serviciu","Adunatii-Copaceni","Giurgiu","09.06.2022","Declaraţie de avere"
"Mirea P Aurelia-Florina","Autoritatea Pentru Supravegherea Si Protectia Animalelor","Șef serviciu","Adunatii-Copaceni","Giurgiu","10.06.2022","Declaraţie de avere"
"TUDOR P MARILENA-ROXANA","Comuna Adunatii Copaceni","Consilier Asistent","Adunatii-Copaceni","Giurgiu","25.05.2022","Declaraţie de avere"
"Rusu A Daniel-Cezar","Comuna Adunatii Copaceni","Primar","Adunatii-Copaceni","Giurgiu","14.06.2022","Declaraţie de avere"
"Marin N Mihaela","Tribunalul Bucuresti","Arhivar","Adunatii-Copaceni","Giurgiu","24.05.2022","Declaraţie de avere"
"Marin N Mihaela","Tribunalul Bucuresti","Arhivar","Adunatii-Copaceni","Giurgiu","23.05.2022","Declaraţie de avere"
