"Nume Prenume","Institutie","Functie","Localitate","Judet","Data completare declaratie","Tip declaratie"
"Piri J Jozsef","Primaria Comuna Acatari","Reprezentant cu statut de invitat","Acatari","Mures","15.06.2022","Declaraţie de avere"
"Szőcs J Judith-Julianna","Primaria Comuna Acatari","Reprezentant cu statut de invitat","Acatari","Mures","15.06.2022","Declaraţie de avere"
"SZABO M LORAND-LASZLO","Municipiul Targu Mures","Inspector","Acatari","Mures","10.06.2022","Declaraţie de avere"
"ORBAN J AGOTA-KATALIN","Municipiul Targu Mures","Referent","Acatari","Mures","08.06.2022","Declaraţie de avere"
"Pécsi E Domokos","Primaria Comuna Acatari","Consilier local","Acatari","Mures","13.06.2022","Declaraţie de avere"
"Nagy A Albert","Primaria Comuna Acatari","Consilier local","Acatari","Mures","09.06.2022","Declaraţie de avere"
"Veres G Gáspár Ervin","Primaria Comuna Acatari","Viceprimar","Acatari","Mures","10.06.2022","Declaraţie de avere"
"Menyhárt B Bálint","Primaria Comuna Acatari","Consilier local","Acatari","Mures","17.06.2022","Declaraţie de avere"
"Bálint A Barnabás-Attila","Primaria Comuna Acatari","Consilier local","Acatari","Mures","10.06.2022","Declaraţie de avere"
"László J Jozsef","Primaria Comuna Acatari","Consilier local","Acatari","Mures","15.06.2022","Declaraţie de avere"
"Albert M Márton","Primaria Comuna Acatari","Consilier local","Acatari","Mures","15.06.2022","Declaraţie de avere"
"Ciatlos G György","Primaria Comuna Acatari","Consilier local","Acatari","Mures","14.06.2022","Declaraţie de avere"
"Magyari S Zoltán","Primaria Comuna Acatari","Consilier local","Acatari","Mures","14.06.2022","Declaraţie de avere"
"Krizsan M Tibor","Primaria Comuna Acatari","Consilier local","Acatari","Mures","13.06.2022","Declaraţie de avere"
"Móré T Tibor","Primaria Comuna Acatari","Consilier local","Acatari","Mures","13.06.2022","Declaraţie de avere"
"Gaspar F Ferenc","Primaria Comuna Acatari","Referent Superior","Acatari","Mures","14.06.2022","Declaraţie de avere"
"Szilágyi B Ana-Katalina","Primaria Comuna Acatari","Referent Superior","Acatari","Mures","09.06.2022","Declaraţie de avere"
"Csala E Judit","Primaria Comuna Acatari","Inspector superior","Acatari","Mures","10.06.2022","Declaraţie de avere"
"Bereczki I Csila-Bealta","Primaria Comuna Acatari","Inspector principal","Acatari","Mures","09.06.2022","Declaraţie de avere"
"Hosszu L Ágota-Magdolna","Primaria Comuna Acatari","Inspector principal","Acatari","Mures","10.06.2022","Declaraţie de avere"
"Józsa F Ferenc","Primaria Comuna Acatari","Secretar General","Acatari","Mures","14.06.2022","Declaraţie de avere"
"Solovăstru P Petru-Dănuț","Primaria Comuna Acatari","Politist local","Acatari","Mures","13.06.2022","Declaraţie de avere"
"Albert J Eva","Directia Generala Regionala A Finantelor Publice Brasov","Inspector","Acatari","Mures","07.06.2022","Declaraţie de avere"
"Fechete S Istvan","Tribunalul Mures","Specialist IT","Acatari","Mures","18.05.2022","Declaraţie de avere"
