"Nume Prenume","Institutie","Functie","Localitate","Judet","Data completare declaratie","Tip declaratie"
"NICOLETA V IVANCIU","Spitalul Municipal Adjud","Manager","Adjud","Vrancea","13.04.2022","Declaraţie de avere"
"Radu L Ramona","SERVICIUL PUBLIC TRANSPORT LOCAL DE PERSOANE ADJUD","Șef serviciu","Adjud","Vrancea","28.05.2022","Declaraţie de avere"
"Amaricai Gh. Mariana","Directia Sanitar Veterinara Si Pentru Siguranta Alimentelor","Consilier","Adjud","Vrancea","30.05.2022","Declaraţie de avere"
"ROMAN C GABRIELA","Colegiul National Emil Botta","Administrator financiar","Adjud","Vrancea","15.06.2022","Declaraţie de avere"
"Dediu V Marinela","Directia Sanitar Veterinara Si Pentru Siguranta Alimentelor","Consilier","Adjud","Vrancea","14.06.2022","Declaraţie de avere"
"AVRAM G IONEL ADRIAN","Colegiul National Emil Botta","Director adjunct","Adjud","Vrancea","16.06.2022","Declaraţie de avere"
"Andrei A Corina","Parchetul de pe lângă Judecătoria Adjud","Grefier șef","Adjud","Vrancea","05.06.2022","Declaraţie de avere"
"VERMAN I LUMINIȚA","Judecatoria Adjud","Grefier","Adjud","Vrancea","12.05.2022","Declaraţie de avere"
"GORGHIU GH AUREL","Directia Generala Regionala A Finantelor Publice Galati","Șef serviciu","Adjud","Vrancea","06.05.2022","Declaraţie de avere"
"OLARU M IULIA","Judecatoria Adjud","Grefier arhivar","Adjud","Vrancea","09.05.2022","Declaraţie de avere"
"NEGUȚ GH NICOLETA CRISTINA","Tribunalul Vrancea","Grefier Șef-Arhivar","Adjudu Vechi","Vrancea","12.05.2022","Declaraţie de avere"
"VLAD V DANIELA-MARIA","Judecatoria Adjud","Grefier","Adjud","Vrancea","06.04.2022","Declaraţie de avere"
"Florea G Gheorghiță","Scoala Gimnaziala","Director","Adjud","Vrancea","16.02.2022","Declaraţie de avere"
"RADU GH ELENA","Judecatoria Adjud","Grefier șef","Adjud","Vrancea","24.03.2022","Declaraţie de avere"
"POSTĂVARU T ZIZICA","Judecatoria Adjud","Grefier","Adjud","Vrancea","06.04.2022","Declaraţie de avere"
"FĂINĂREA A CAMELIA","Judecatoria Adjud","Grefier","Adjud","Vrancea","23.03.2022","Declaraţie de avere"
"DĂNĂILĂ I NICOLETA-CRISTINELA","Municipiul Adjud","Aleși locali - Consilieri locali","Adjud","Vrancea","17.05.2022","Declaraţie de avere"
"Răuță C Victor","Administratia Nationala A Rezervelor De Stat Si Probleme Speciale - Unitatea Teritoriala 310","Director","Adjud","Vrancea","19.05.2022","Declaraţie de avere"
"Croitoru V Adrian-Cristinel","Sucursala Regionala CF Iasi","Contabil Sef Sectie","Adjud","Vrancea","11.04.2022","Declaraţie de avere"
"GHEORGHIU V SORIN NICOLAE","Sucursala Regionala CF Galati","SEF STATIE","Adjud","Vrancea","24.03.2022","Declaraţie de avere"
"Valea Gh Tatiana","Biblioteca Municipala Adjud","Manager","Adjud","Vrancea","10.06.2022","Declaraţie de avere"
"GROSU S NICULAIE","Sucursala Regionala CF Galati","Șef secție","Adjud","Vrancea","03.05.2022","Declaraţie de avere"
"NASTASE G MADALIN","Sucursala Regionala CF Galati","Sef sectie adjunct","Adjud","Vrancea","01.03.2022","Declaraţie de avere"
"GHERGHINIS G ALINA IULIANA","CENTRAL CNCF CFR SA","Contabil Sef Sectie","Adjud","Vrancea","28.03.2022","Declaraţie de avere"
"PODARU J IULIAN","Municipiul Adjud","Funcții publice generale","Adjud","Vrancea","13.05.2022","Declaraţie de avere"
"TEODORU V CIPRIAN","Municipiul Adjud","Inspector superior","Adjud","Vrancea","12.05.2022","Declaraţie de avere"
"PĂNCESCU N IONELA","Municipiul Adjud","Funcții publice generale","Adjud","Vrancea","17.05.2022","Declaraţie de avere"
