"Nume Prenume","Institutie","Functie","Localitate","Judet","Data completare declaratie","Tip declaratie"
"CIULA MARTIȘ GH. MĂDĂLINA","Municipiul Adjud","Inspector superior","Adjud","Vrancea","31.05.2022","Declaraţie de avere"
"MARIN I CĂTĂLIN IOAN","Municipiul Adjud","Inspector principal","Adjud","Vrancea","18.05.2022","Declaraţie de avere"
"IORDACHI G ADRIAN","Sucursala Regionala CF Galati","Inginer de sistem în informatică","Adjud","Vrancea","27.05.2022","Declaraţie de avere"
"IORDACHI G ADRIAN","Sucursala Regionala CF Galati","Sef district rezervă","Adjud","Vrancea","30.03.2022","Declaraţie de avere"
"KNAP N MIHAELA CRISTINA","Municipiul Adjud","Funcții publice generale","Adjud","Vrancea","10.06.2022","Declaraţie de avere"
"TOIA GH NADINA","Municipiul Adjud","Consilier juridic","Adjud","Vrancea","17.05.2022","Declaraţie de avere"
"CAZACU V REMUS FLORIN","Municipiul Adjud","Funcții publice generale","Adjud","Vrancea","30.06.2022","Declaraţie de avere"
"CAZACU V REMUS FLORIN","Municipiul Adjud","Funcții publice generale","Adjud","Vrancea","17.05.2022","Declaraţie de avere"
"NECHIFOR C FLORIN","Municipiul Adjud","Primar","Adjud","Vrancea","28.03.2022","Declaraţie de avere"
"CHISCOP P FLORINA","Spitalul Municipal Adjud","Medic coordonator","Adjud","Vrancea","19.05.2022","Declaraţie de avere"
"BRUMARU G MARIUS DANIEL","Sucursala Regionala CF Galati","SEF DISTRICT","Adjud","Vrancea","01.04.2022","Declaraţie de avere"
"CRISTIAN I OVIDIU-CATALIN","Sucursala Regionala de Transport Feroviar de Calatori Galati","SEF STATIE","Adjud","Vrancea","29.03.2022","Declaraţie de avere"
"ADEACONITEI C GIGEL","Sucursala Regionala CF Galati","Sef laborator","Adjud","Vrancea","30.03.2022","Declaraţie de avere"
"Bogliș L Ioana-Carmen","Unitatea Militara-02648-Academia Tehnica Militara Ferdinand I","Sef laborator","Adjudeni","Neamt","23.02.2022","Declaraţie de avere"
"CIOCAN N IONEL","Sucursala Regionala CF Galati","SEF DISTRICT","Adjud","Vrancea","16.06.2022","Declaraţie de avere"
"GALAN M LIDIA","Municipiul Adjud","Consilier superior","Adjud","Vrancea","14.06.2022","Declaraţie de avere"
"TOIA M NICUȘOR","Municipiul Adjud","Consilier juridic","Adjud","Vrancea","17.05.2022","Declaraţie de avere"
"MEREUȚĂ I VIOLETA MARIANA","Municipiul Adjud","Inspector superior","Adjud","Vrancea","17.05.2022","Declaraţie de avere"
"DUDA NOVAC C MIRELA","Municipiul Adjud","Inspector superior","Adjud","Vrancea","16.05.2022","Declaraţie de avere"
"ZETU S ALINA","Municipiul Adjud","Funcții publice generale","Adjud","Vrancea","10.06.2022","Declaraţie de avere"
"ZAHARIA T TEODOR","Municipiul Adjud","Funcții publice generale","Adjud","Vrancea","12.05.2022","Declaraţie de avere"
"DRĂGUȚ P VICTOR IONUȚ","Municipiul Adjud","Funcții publice generale","Adjud","Vrancea","23.05.2022","Declaraţie de avere"
"Buchidau St. Tania Aurelia","Colegiul Tehnic Gheorghe Bals","Director adjunct","Adjud","Vrancea","22.06.2022","Declaraţie de avere"
"Badiu M Gabriela","Colegiul Tehnic Gheorghe Bals","Administrator financiar","Adjud","Vrancea","21.06.2022","Declaraţie de avere"
"GEORGETA VULPE F GEORGETA","Municipiul Adjud","Funcții publice generale","Adjud","Vrancea","09.06.2022","Declaraţie de avere"
"VARTOLOMEI GHE IULIANA","Municipiul Adjud","Funcții publice generale","Adjud","Vrancea","14.06.2022","Declaraţie de avere"
"USTUROI E GABRIEL","Municipiul Adjud","Funcții publice generale","Adjud","Vrancea","08.06.2022","Declaraţie de avere"
"Duca G Mona Mariana","Colegiul Tehnic Gheorghe Bals","Secretar Sef","Adjud","Vrancea","17.06.2022","Declaraţie de avere"
"CAMELIA I ROMANOV","Municipiul Adjud","Funcții publice generale","Adjud","Vrancea","16.05.2022","Declaraţie de avere"
"RUSU V MIHAELA","Spitalul Municipal Adjud","Șef birou","Adjud","Vrancea","06.05.2022","Declaraţie de avere"
"UNCIULEAC I MĂRGELUȘ","Municipiul Adjud","Funcții publice generale","Adjud","Vrancea","10.06.2022","Declaraţie de avere"
"DARIE C NICU","Spitalul Municipal Adjud","Asistent coordonator","Adjud","Vrancea","03.06.2022","Declaraţie de avere"
"UDRESCU T DĂNUȚ","Municipiul Adjud","Funcții publice generale","Adjud","Vrancea","10.06.2022","Declaraţie de avere"
"SIBIȘAN G ANDRA GENOVEVA","Municipiul Adjud","Funcții publice generale","Adjud","Vrancea","14.06.2022","Declaraţie de avere"
"SANDU I ELENA","Municipiul Adjud","Funcții publice generale","Adjud","Vrancea","14.06.2022","Declaraţie de avere"
"RUXANDU M CEZAR NICOLAE","Municipiul Adjud","Consilier juridic superior","Adjud","Vrancea","31.05.2022","Declaraţie de avere"
"MUNTEANU M MARICELA","Municipiul Adjud","Inspector superior","Adjudu Vechi","Vrancea","31.05.2022","Declaraţie de avere"
"RĂILEANU I ANDREEA MONICA","Municipiul Adjud","Inspector superior","Adjud","Vrancea","17.05.2022","Declaraţie de avere"
"RACOVIȚĂ V ROXANA","Municipiul Adjud","Inspector superior","Adjud","Vrancea","17.05.2022","Declaraţie de avere"
"PUȘCAȘU P ELISABETA MIHAELA","Municipiul Adjud","Director Executiv","Adjud","Vrancea","31.05.2022","Declaraţie de avere"
"PABIȘ C MARIAN NICOLAIE","Municipiul Adjud","Funcții publice generale","Adjud","Vrancea","10.06.2022","Declaraţie de avere"
"ORIȚĂ M IRINA","Municipiul Adjud","Referent","Adjud","Vrancea","19.05.2022","Declaraţie de avere"
"MUNTEANU D. GABRIELA","Municipiul Adjud","Referent Superior","Adjud","Vrancea","31.05.2022","Declaraţie de avere"
"MURGU C GELICA","Municipiul Adjud","Inspector superior","Adjud","Vrancea","30.05.2022","Declaraţie de avere"
"MAXIM M MIOARA","Municipiul Adjud","Funcții publice generale","Adjud","Vrancea","23.05.2022","Declaraţie de avere"
"DOCHIȚA P MANUELA-GABI","Municipiul Adjud","Aleși locali - Consilieri locali","Adjud","Vrancea","22.02.2022","Declaraţie de avere"
"LAZĂR M CONSTANTIN","Municipiul Adjud","Funcții publice generale","Adjud","Vrancea","03.06.2022","Declaraţie de avere"
"IRIMIA I ION","Municipiul Adjud","Inspector superior","Adjud","Vrancea","18.05.2022","Declaraţie de avere"
"Perju V Anisoara Florentina","Inspectoratul Teritorial De Munca","Inspector de munca","Adjud","Vrancea","14.06.2022","Declaraţie de avere"
"Dasaga I Marcela Claudia","Inspectoratul Teritorial De Munca Vrancea","Inspector de munca","Adjud","Vrancea","14.06.2022","Declaraţie de avere"
"Pavel Al Mihaela","Scoala Gimnaziala","Expert Proiect","Adjud","Vrancea","13.06.2022","Declaraţie de avere"
"BALAȘCĂ M IOANA MARIA","Directia Sanitara Veterinara Si Pentru Siguranta Alimentelor Suceava","Consilier","Adjudeni","Neamt","13.06.2022","Declaraţie de avere"
"ENACHE B NICOLETA","Municipiul Adjud","Funcții publice generale","Adjud","Vrancea","10.06.2022","Declaraţie de avere"
"ENACHE C NICOLETA","Municipiul Adjud","Funcții publice generale","Adjud","Vrancea","07.06.2022","Declaraţie de avere"
"GROBNICU I MIHAELA","Municipiul Adjud","Inspector superior","Adjud","Vrancea","06.06.2022","Declaraţie de avere"
"GRIGORE C ADRIANA ELIZA","Municipiul Adjud","Funcții publice generale","Adjud","Vrancea","17.05.2022","Declaraţie de avere"
"GHIMPU M IOAN","Municipiul Adjud","Funcții publice generale","Adjud","Vrancea","17.05.2022","Declaraţie de avere"
"GALAN A GABRIEL FLORIN","Municipiul Adjud","Inspector superior","Adjud","Vrancea","14.06.2022","Declaraţie de avere"
"GĂLBINIȚĂ C MARIAN","Municipiul Adjud","Funcții publice generale","Adjudu Vechi","Vrancea","13.05.2022","Declaraţie de avere"
"GIURGILA M PETRU","Comuna Tamaseni","Consilier local","Adjudeni","Neamt","14.06.2022","Declaraţie de avere"
"BRAȘOV N IONELA","Comuna Sascut","Secretar General","Adjud","Vrancea","14.06.2022","Declaraţie de avere"
"MĂRCUȚ G LIVIU","Municipiul Adjud","Funcții publice generale","Adjud","Vrancea","15.06.2022","Declaraţie de avere"
"BACIU A ADRIAN CĂTĂLIN","Municipiul Adjud","Consilier Personal","Adjud","Vrancea","15.06.2022","Declaraţie de avere"
"Antohi GHE Craciunel Vicentiu","Parchetul de pe lângă Judecătoria Onesti","Procurori","Adjud","Vrancea","06.06.2022","Declaraţie de avere"
"Mihai S Silviu","Municipiul Adjud","Aleși locali - Consilieri locali","Adjud","Vrancea","15.06.2022","Declaraţie de avere"
"MUȘAT N ALEXANDRU-GHEORGHIȚĂ","Baza De Aprovizionare, Gospodarire Si Reparatii","Conducator auto","Adjud","Vrancea","30.06.2022","Declaraţie de avere"
"MUȘAT N ALEXANDRU-GHEORGHIȚĂ","Baza De Aprovizionare, Gospodarire Si Reparatii","Conducator auto","Adjud","Vrancea","19.04.2022","Declaraţie de avere"
"Pepene GHI Mihaela Emanuela","Scoala Gimnaziala Pufesti","Secretar","Adjud","Vrancea","15.06.2022","Declaraţie de avere"
"SURUGIU M RAZVAN ADRIAN","Sucursala Regionala CF Galati","SEF DISTRICT","Adjud","Vrancea","07.04.2022","Declaraţie de avere"
"SANDU T ELVIRA","Sucursala Regionala CF Galati","Contabil Sef Sectie","Adjud","Vrancea","12.04.2022","Declaraţie de avere"
"ȘERBAN V DELIA","Spitalul Municipal Adjud","Farmacist sef","Adjud","Vrancea","31.05.2022","Declaraţie de avere"
"IOSUB P IOSIF","Comuna Tamaseni","Consilier local","Adjudeni","Neamt","14.06.2022","Declaraţie de avere"
"BULAI I EMANUEL","Comuna Tamaseni","Consilier local","Adjudeni","Neamt","15.06.2022","Declaraţie de avere"
"LUCACI V STEFAN","Comuna Tamaseni","Primar","Adjudeni","Neamt","13.06.2022","Declaraţie de avere"
"DUMEA M EMILIAN","Comuna Tamaseni","Consilier local","Adjudeni","Neamt","14.06.2022","Declaraţie de avere"
"GHERGHE G NICOLETA","Municipiul Adjud","Viceprimar","Adjud","Vrancea","24.05.2022","Declaraţie de avere"
"Radu V Mircea","SOCIETATEA DE PRODUCERE A ENERGIEI ELECTRICE IN HIDROCENTRALE HIDROELECTRICA S.A.","Inginer Sef","Adjud","Vrancea","04.03.2022","Declaraţie de avere"
"RADU V MIRCEA","Municipiul Adjud","Aleși locali - Consilieri locali","Adjud","Vrancea","26.04.2022","Declaraţie de avere"
"PETREA I CAMELIA","Municipiul Adjud","Aleși locali - Consilieri locali","Adjud","Vrancea","24.05.2022","Declaraţie de avere"
"MARCU D DOINA","Municipiul Adjud","Aleși locali - Consilieri locali","Adjud","Vrancea","26.05.2022","Declaraţie de avere"
"PETREA D NUȚA-NICOLETA","Spitalul Municipal Adjud","Șef serviciu","Adjud","Vrancea","18.05.2022","Declaraţie de avere"
"PETREA D NUȚA-NICOLETA","Municipiul Adjud","Aleși locali - Consilieri locali","Adjud","Vrancea","18.05.2022","Declaraţie de avere"
"PETREA V DOREL","Municipiul Adjud","Șef serviciu","Adjud","Vrancea","17.05.2022","Declaraţie de avere"
"MARCU I CĂTĂLIN","Municipiul Adjud","Aleși locali - Consilieri locali","Adjud","Vrancea","28.06.2022","Declaraţie de avere"
"MARCU I CĂTĂLIN","Municipiul Adjud","Aleși locali - Consilieri locali","Adjud","Vrancea","21.03.2022","Declaraţie de avere"
"DUMITRAȘC V ȘTEFAN","Municipiul Adjud","Funcții publice generale","Adjud","Vrancea","17.05.2022","Declaraţie de avere"
"DRAGOMIRICĂ C MARIA","Municipiul Adjud","Inspector superior","Adjud","Vrancea","08.06.2022","Declaraţie de avere"
"CRÎȘMARU A BRIGITTA","Municipiul Adjud","Referent de specialitate","Adjud","Vrancea","06.06.2022","Declaraţie de avere"
"cristina custura C CRISTINA","Municipiul Adjud","Inspector superior","Adjud","Vrancea","15.06.2022","Declaraţie de avere"
"CODRESCU V SILVIU EMANUEL","Municipiul Adjud","Funcții publice generale","Adjud","Vrancea","08.06.2022","Declaraţie de avere"
"CIOBANU O GIANINA","Municipiul Adjud","Inspector superior","Adjud","Vrancea","10.06.2022","Declaraţie de avere"
"BOSTAN J GINA","Municipiul Adjud","Funcții publice generale","Adjud","Vrancea","07.06.2022","Declaraţie de avere"
"BOGEA A TUȚA VERONICA","Municipiul Adjud","Consilier Achizitii Publice","Adjud","Vrancea","09.06.2022","Declaraţie de avere"
"BĂLAN T DANIELA","Municipiul Adjud","Funcții publice generale","Adjud","Vrancea","17.05.2022","Declaraţie de avere"
"Vlad v Miruna Elina","Directia Sanitar Veterinara Si Pentru Siguranta Alimentelor","Consilier","Adjud","Vrancea","09.06.2022","Declaraţie de avere"
"Cîcu V Emanuel","Unitatea Militara 01961","Comandant pluton","Adjud","Vrancea","06.07.2022","Declaraţie de avere"
"Cîcu V Emanuel","U.m. Nr. 01333 Focsani","Comandant pluton","Adjud","Vrancea","14.06.2022","Declaraţie de avere"
"PRICHICI V IONELA-IULIA","Agentia De Plati Si Interventie Pentru Agricultura - Centrul Judetean Vrancea","Consilier debutant","Adjud","Vrancea","10.06.2022","Declaraţie de avere"
"Dragomir C Oana","Tribunalul Vrancea","Asistent judiciar","Adjud","Vrancea","31.05.2022","Declaraţie de avere"
"Melinte C. Alexandru Sebastian","Unitatea Militara 01109","Comandant pluton","Adjud","Vrancea","11.06.2022","Declaraţie de avere"
"Cazacu L Liea-Maricela","Directia Judeteana Pentru Sport Si Tineret Vrancea","Expert","Adjud","Vrancea","09.06.2022","Declaraţie de avere"
"STAN T IULIANA","Spitalul Municipal Adjud","Asistent coordonator","Adjudu Vechi","Vrancea","13.05.2022","Declaraţie de avere"
"ROGOZ C STAN","Municipiul Adjud","Aleși locali - Consilieri locali","Adjud","Vrancea","15.06.2022","Declaraţie de avere"
"POPÎRDA V VASILE","Municipiul Adjud","Aleși locali - Consilieri locali","Adjud","Vrancea","15.06.2022","Declaraţie de avere"
"CRISTEA V OVIDIU-RĂZVAN","Alte institutii","Aleși locali - Consilieri locali","Adjud","Vrancea","15.06.2022","Declaraţie de avere"
"ANGHELINA I FELIX","Municipiul Adjud","Aleși locali - Consilieri locali","Adjud","Vrancea","15.06.2022","Declaraţie de avere"
"NICA V GEORGE-CLAUDIU","Municipiul Adjud","Aleși locali - Consilieri locali","Adjud","Vrancea","15.06.2022","Declaraţie de avere"
"Prisecaru M Ionut","Sucursala Regionala de Transport Feroviar de Calatori Iasi","SEF STATIE ADJUNCT","Adjud","Vrancea","15.03.2022","Declaraţie de avere"
"Șelaru V Maricel","U.m. Nr. 01101 M. Ciuc","Sef Compartiment","Adjud","Vrancea","10.06.2022","Declaraţie de avere"
"SPIRIDON I MIHAELA","Comuna Tatarasti","Referent Superior","Adjud","Vrancea","26.05.2022","Declaraţie de avere"
"Neguț N Relu-Sorinel","U.m. 02417","Locțiitor comandant","Adjud","Vrancea","16.05.2022","Declaraţie de avere"
"MAROLA V. CORNELIA","Spitalul Municipal Adjud","Asistent coordonator","Adjud","Vrancea","17.05.2022","Declaraţie de avere"
"MUNTEANU I Gabriel","Administratia Natională a Rezervelor de Stat si Probleme Speciale","Auditor public intern","Adjud","Vrancea","26.05.2022","Declaraţie de avere"
"MAROLA A.G. CORNELIU","Spitalul Municipal Adjud","Membru în consiliul de administrație","Adjud","Vrancea","17.05.2022","Declaraţie de avere"
"MAROLA A.G. CORNELIU","Municipiul Adjud","Consilier juridic","Adjud","Vrancea","17.05.2022","Declaraţie de avere"
"POPA C ANTONINA","Spitalul Municipal Adjud","Asistent coordonator","Adjud","Vrancea","13.05.2022","Declaraţie de avere"
"POPÎRDA G ANGELICA","Spitalul Municipal Adjud","Asistent coordonator","Adjud","Vrancea","25.05.2022","Declaraţie de avere"
"SĂVESCU N MARIANA","Judetul Vrancea","Șef birou","Adjud","Vrancea","08.06.2022","Declaraţie de avere"
"TRIF I ELENA","Spitalul Municipal Adjud","Medic coordonator","Adjud","Vrancea","31.05.2022","Declaraţie de avere"
"TRIF I ELENA","Spitalul Municipal Adjud","Medic coordonator","Adjud","Vrancea","31.05.2022","Declaraţie de avere"
"MUNTEANU G OANA-ALINA","Spitalul Municipal Adjud","Director financiar contabil","Adjud","Vrancea","05.05.2022","Declaraţie de avere"
"MOISĂ L ALINA-ELENA","Spitalul Municipal Adjud","Asistent coordonator","Adjud","Vrancea","26.05.2022","Declaraţie de avere"
"POPA M GABRIELA","Alte institutii","Medic coordonator","Adjud","Vrancea","17.05.2022","Declaraţie de avere"
"BLAGLOSOV T GABRIEL-GELU","Spitalul Municipal Adjud","Medic șef secție","Adjud","Vrancea","25.05.2022","Declaraţie de avere"
"TANASĂ Gh ADRIAN","Spitalul Municipal Adjud","Medic coordonator","Adjud","Vrancea","26.04.2022","Declaraţie de avere"
"Stoica J Magda","Spitalul Municipal Adjud","Chimist","Adjud","Vrancea","19.04.2022","Declaraţie de avere"
"BÂRGU VA CONSTANTIN-CIPRIAN","Spitalul Municipal Adjud","Medic coordonator","Adjud","Vrancea","20.05.2022","Declaraţie de avere"
"Fîșîc I Marius-Adrian","Ministerul Apararii Nationale","Comandant pluton","Adjud","Vrancea","02.06.2022","Declaraţie de avere"
"CRISTEA I LEONARDO-CLAUDIU","Municipiul Adjud","Aleși locali - Consilieri locali","Adjud","Vrancea","15.06.2022","Declaraţie de avere"
"LAZAR I DOREL","Judetul Vrancea","Consilier județean","Adjud","Vrancea","17.06.2022","Declaraţie de avere"
"DASCĂLU V VALI LOREDANA","Directia De Asistenta Sociala Adjud","Director Executiv","Adjud","Vrancea","10.06.2022","Declaraţie de avere"
"NEGOIȚĂ C MIHAELA CRINA","Directia De Asistenta Sociala Adjud","Inspector asistent","Adjud","Vrancea","15.06.2022","Declaraţie de avere"
"CIOBOTARU V ADINA","Directia De Asistenta Sociala Adjud","Referent Superior","Adjud","Vrancea","09.06.2022","Declaraţie de avere"
"STOIAN I NICOLETA","Directia De Asistenta Sociala Adjud","Inspector superior","Adjudu Vechi","Vrancea","09.06.2022","Declaraţie de avere"
"GRAMA A ANDREIA","Directia De Asistenta Sociala Adjud","Inspector superior","Adjud","Vrancea","09.06.2022","Declaraţie de avere"
"BERBECE GHE SMARANDA","Directia De Asistenta Sociala Adjud","Inspector asistent","Adjud","Vrancea","09.06.2022","Declaraţie de avere"
"TUDORANCEA AL FLORINA RALUCA","Directia De Asistenta Sociala Adjud","Inspector superior","Adjud","Vrancea","08.06.2022","Declaraţie de avere"
"DUMITRAȘC S NELA","Directia De Asistenta Sociala Adjud","Referent Superior","Adjud","Vrancea","08.06.2022","Declaraţie de avere"
"ZARA A CLAUDIU EMANUEL","Spitalul Municipal Anton Cincu","Coordonator compartiment","Adjud","Vrancea","16.06.2022","Declaraţie de avere"
"Iordache V Ramona Andreea","U.M. 01867 Mihai Bravu","SEF TURA","Adjud","Vrancea","31.05.2022","Declaraţie de avere"
"VRABIE I MĂDĂLINA SILVIA","Institutia Prefectului Judetului Vrancea","Inspector","Adjudu Vechi","Vrancea","18.05.2022","Declaraţie de avere"
"Luca V Constantin","Statul Major Al Fortelor Navale","Șef secție","Adjudu Vechi","Vrancea","14.06.2022","Declaraţie de avere"
"DRUG I MARIANA","Comuna Paunesti","Secretar General","Adjud","Vrancea","17.03.2022","Declaraţie de avere"
"Negrea C Ion","Centrul National De Calificare Si Instruire Feroviara - Cenafer","Șef serviciu","Adjud","Vrancea","31.05.2022","Declaraţie de avere"
"Bîrdan C Costel-Daniel","U.M. 02150","Sef Compartiment","Adjud","Vrancea","16.03.2022","Declaraţie de avere"
"HOLBAN M IRMA MARIA","Comuna Parava","Secretar General","Adjud","Vrancea","24.05.2022","Declaraţie de avere"
"Surugiu M Ionuț-Alin","Ministerul Apararii Nationale","Sef Compartiment","Adjud","Vrancea","03.06.2022","Declaraţie de avere"
"DUMITRU V IRINA CATALINA","Comuna Urechesti","Consilier superior","Adjud","Vrancea","15.06.2022","Declaraţie de avere"
"Draganuta D Raluca","Comuna Urechesti","Consilier superior","Adjud","Vrancea","23.05.2022","Declaraţie de avere"
"ENE I CRISTINA","Comuna Ruginesti","Inspector asistent","Adjud","Vrancea","17.03.2022","Declaraţie de avere"
"GIGEL PUSCASU C GIGEL","Unitatea Militara Nr.02515","Șef serviciu","Adjud","Vrancea","08.06.2022","Declaraţie de avere"
"Luca P. Petru Iulian","Comuna Urechesti","Secretar General","Adjud","Vrancea","08.06.2022","Declaraţie de avere"
"MATEI G GHEORGHE","Municipiul Adjud","Aleși locali - Consilieri locali","Adjud","Vrancea","15.06.2022","Declaraţie de avere"
"MOISE P ALIN-COSMIN","Municipiul Adjud","Aleși locali - Consilieri locali","Adjud","Vrancea","06.06.2022","Declaraţie de avere"
"ROȘU I ADRIAN","Municipiul Adjud","Aleși locali - Consilieri locali","Adjud","Vrancea","14.06.2022","Declaraţie de avere"
"DIMA H AURELIA","Municipiul Adjud","Aleși locali - Consilieri locali","Adjud","Vrancea","10.06.2022","Declaraţie de avere"
"COJOCARU C CRISTIAN NINEL","Municipiul Adjud","Inspector asistent","Adjud","Vrancea","03.06.2022","Declaraţie de avere"
"Stroe M Eugenia","Curtea De Apel Bacau","Grefier","Adjud","Vrancea","09.06.2022","Declaraţie de avere"
"DRĂGHICI N MARIAN-ADRIAN","Municipiul Adjud","Aleși locali - Consilieri locali","Adjud","Vrancea","14.06.2022","Declaraţie de avere"
"Ivan Ghe. Luminița","Comuna Homocea","Inspector asistent","Adjud","Vrancea","03.06.2022","Declaraţie de avere"
"Voicu S Iulian","Comuna Homocea","Secretar General","Adjud","Vrancea","07.06.2022","Declaraţie de avere"
"Baciu D Cristina-Mirela","Comuna Homocea","Inspector superior","Adjud","Vrancea","19.05.2022","Declaraţie de avere"
"SIMION N TANTA","Comuna Ruginesti","Inspector superior","Adjud","Vrancea","12.05.2022","Declaraţie de avere"
"STIRBAT I GABRIELA","Tribunalul Galati","Consilier juridic","Adjud","Vrancea","02.06.2022","Declaraţie de avere"
"BANARIE M LĂCRĂMIOARA-MANUELA","Spitalul Municipal Adjud","Șef birou","Adjud","Vrancea","28.04.2022","Declaraţie de avere"
"Banarie M Lăcrămioara-Manuela","Spitalul Municipal Adjud","Șef birou","Adjud","Vrancea","07.04.2022","Declaraţie de avere"
"BALAS D Daniela","Parchetul de pe lângă Judecătoria Panciu","Grefier","Adjud","Vrancea","13.05.2022","Declaraţie de avere"
"Popa D Paul-Alexandru","Ministerul Apararii Nationale","SEF TURA","Adjud","Vrancea","14.06.2022","Declaraţie de avere"
