"Nume Prenume","Institutie","Functie","Localitate","Judet","Data completare declaratie","Tip declaratie"
"VLAICU I ANA","Directia Generala De Asistenta Sociala Si Protectia Copilului Sector 1","Consilier","Afumati","Ilfov","06.06.2022","Declaraţie de avere"
"GHERGHE S SILVIA RODICA","Comuna Afumati","Consilier local","Afumati","Ilfov","15.06.2022","Declaraţie de avere"
"Nistor Caliu M Cristina","Consiliul Judetean Ilfov","Șef birou","Afumati","Ilfov","31.03.2022","Declaraţie de avere"
"Cozma P Anisoara","Institutul Pt. Controlul Produselor Biologice Si Medicamentelor De Uz Veterinar","Referent Superior","Afumati","Ilfov","03.06.2022","Declaraţie de avere"
"Enache N Steluța","Politia Locala","Politist local","Afumati","Ilfov","06.04.2022","Declaraţie de avere"
"Alexandru R Paul Mihaita","Inspectoratul General Al Politiei Romane","Polițist","Afumati","Ilfov","02.06.2022","Declaraţie de avere"
"RĂCEANU C CONSTANTIN-ADRIAN","Universitatea Nationala De Aparare Carol I","Șef birou","Afumati","Ilfov","21.02.2022","Declaraţie de avere"
"Vasile D Daniel-Andrei","UNITATEA MILITARA 02159","Comandant grup","Afumati","Ilfov","20.04.2022","Declaraţie de avere"
"Camburu P Tatiana Alexandra","Garda Nationala De Mediu","Șef serviciu","Afumati","Ilfov","07.06.2022","Declaraţie de avere"
"IONESCU V.D. VALENTIN","Institutul National De Cercetare-dezvoltare Medico-militara Cantacuzino-activitate Economica","Șef Sector","Afumati","Ilfov","06.06.2022","Declaraţie de avere"
"Minciu N Paula","Agentia Municipala Pentru Ocuparea Fortei De Munca","Expert superior","Afumati","Ilfov","14.06.2022","Declaraţie de avere"
"Grigorescu C Mihaela-Rodica","Casa Nationala De Pensii Publice","Expert superior","Afumati","Ilfov","23.05.2022","Declaraţie de avere"
"Iordan C Camelia","Casa Nationala De Pensii Publice","Consilier superior","Afumati","Ilfov","08.06.2022","Declaraţie de avere"
"Diculescu I Georgeta Lorena","Senatul Romaniei","Consilier parlamentar","Afumati","Ilfov","25.05.2022","Declaraţie de avere"
"Diculescu N Bogdan Puiu","Senatul Romaniei","Șef serviciu","Afumati","Ilfov","24.05.2022","Declaraţie de avere"
"Iordan A Marioara","Institutul De Prognoza Economica","Director adjunct","Afumati","Ilfov","30.05.2022","Declaraţie de avere"
"Baranescu I Aurelia","Directia Generala Regionala A Finantelor Publice Bucuresti","Inspector asistent","Afumati","Ilfov","06.05.2022","Declaraţie de avere"
"ZICA T MARIANA","Autoritatea Nationala Fitosanitara","Referent Superior","Afumati","Ilfov","02.05.2022","Declaraţie de avere"
"Vlad Adrian F Tone","Universitatea De Stiinte Agronomice Si Medicina Veterinara","Șef serviciu","Afumati","Ilfov","30.05.2022","Declaraţie de avere"
"Tudori n Cristina","Agentia Nationala De Administrare Fiscala","Inspector","Afumati","Ilfov","06.04.2022","Declaraţie de avere"
"Dobre A Dorina","Agentia Pentru Finantarea Investitiilor Rurale","Auditor","Afumati","Ilfov","23.02.2022","Declaraţie de avere"
