"Nume Prenume","Institutie","Functie","Localitate","Judet","Data completare declaratie","Tip declaratie"
"TUDOR C ELENA","Oras Voluntari","Politist local","Afumati","Ilfov","07.04.2022","Declaraţie de avere"
"STANCIU F NICOLETA","Directia De Asistenta Sociala Voluntari","Inspector asistent","Afumati","Ilfov","13.05.2022","Declaraţie de avere"
"BORDEIANU D CONSTANTIN","Ministerul Energiei","Director general","Afumati","Ilfov","14.06.2022","Declaraţie de avere"
"Tănase Ghe Ecaterina","Curtea De Conturi A Romaniei","Auditor","Afumati","Ilfov","19.04.2022","Declaraţie de avere"
"Budici MM Sorina","Comuna Afumati","Consilier","Afumati","Ilfov","06.04.2022","Declaraţie de avere"
"ASAFTEI P ELENA","Directia Generala De Asistenta Sociala Si Protectia Copilului Ilfov","Consilier","Afumati","Ilfov","03.06.2022","Declaraţie de avere"
"MITREA N MIHAELA","Alte institutii","Consilier","Afumati","Ilfov","03.05.2022","Declaraţie de avere"
"VASOPOL I AMELIA-TATIANA","Directia Generala De Asistenta Sociala Si Protectia Copilului Ilfov","Sef Birou I","Afumati","Ilfov","06.06.2022","Declaraţie de avere"
"Pencu p Niculae","Consiliul Judetean Ilfov","Consilier superior","Afumati","Ilfov","25.05.2022","Declaraţie de avere"
"Tudor FP Emilian-Nicolae","Ministerul Finantelor","Expert","Afumati","Ilfov","02.06.2022","Declaraţie de avere"
"Breazu M Florian Emanuel","COMPANIA NATIONALA IMPRIMERIA NATIONALA SA","Șef serviciu","Afumati","Ilfov","13.05.2022","Declaraţie de avere"
"Gherghe T. Robert Cristian","PUBLIVOL CREATIV S.A.","Președinte consiliu de administratie","Afumati","Ilfov","15.06.2022","Declaraţie de avere"
"PANDELE M LAURA NELYANA","Ministerul Energiei","Consilier superior","Afumati","Ilfov","14.04.2022","Declaraţie de avere"
"JIANU D CLAUDIA","Sectorul 3 Al Municipiului Bucuresti","Politist local","Afumati","Ilfov","30.05.2022","Declaraţie de avere"
"Carpusor I Georgeta","Institutul National De Statistica","Consilier juridic superior","Afumati","Ilfov","28.04.2022","Declaraţie de avere"
"Rujancu D Angela","Institutul National De Statistica","Expert superior","Afumati","Ilfov","02.06.2022","Declaraţie de avere"
"Olea I Ana","Directia Generala Regionala A Finantelor Publice Bucuresti","Inspector superior","Afumati","Ilfov","17.05.2022","Declaraţie de avere"
"Mihalache I Mihaela-Grety","Agentia Nationala De Administrare Fiscala","Inspector","Afumati","Ilfov","02.05.2022","Declaraţie de avere"
"Mihalache I Mihaela-Grety","Agentia Nationala De Administrare Fiscala","Inspector","Afumati","Ilfov","09.03.2022","Declaraţie de avere"
"Mihalache I Mihaela-Grety","Directia Generala Regionala A Finantelor Publice Bucuresti","Inspector","Afumati","Ilfov","10.02.2022","Declaraţie de avere"
"Mihalache I Mihaela-Grety","Directia Generala Regionala A Finantelor Publice Bucuresti","Inspector","Afumati","Ilfov","31.01.2022","Declaraţie de avere"
"Florian P Teodor-Marius","Directia Generala Regionala A Finantelor Publice Bucuresti","Inspector superior","Afumati","Ilfov","13.05.2022","Declaraţie de avere"
"POSTOLACHE I VIOREL GABRIEL","Administratia Fondului Pentru Mediu","Referent de specialitate","Afumati","Ilfov","15.06.2022","Declaraţie de avere"
"Ilie G Mariana","Ministerul Apararii Nationale","Consilier superior","Afumati","Ilfov","17.05.2022","Declaraţie de avere"
"IONUS GHE RALUCA GABRIELA","Inspectoratul General Pentru Imigrari","Ofiter specialist 2","Afumati","Ilfov","06.06.2022","Declaraţie de avere"
"Enache F Adrian","Inspectoratul Teritorial De Munca Al Judetului Ilfov","Inspector de munca","Afumati","Ilfov","19.05.2022","Declaraţie de avere"
"Niculae I Costel","Inspectoratul Teritorial De Munca Al Judetului Ilfov","Inspector de munca","Afumati","Ilfov","03.06.2022","Declaraţie de avere"
"Tudor I Daniela Luminița","Curtea De Conturi A Romaniei","Auditor","Afumati","Ilfov","06.05.2022","Declaraţie de avere"
"Cîrlan M Mihai","Ministerul Apararii Nationale","Comandant unitate","Afumati","Ilfov","10.06.2022","Declaraţie de avere"
"Ciobanu A Aurelia","U.m. Nr. 02482 - Spitalul Univ. De Urgenta Militar Dr. Carol Davila","Șef birou","Afumati","Ilfov","14.06.2022","Declaraţie de avere"
"DOBROGEANU M VASILICA","Judecatoria Sectorului 1 Bucuresti","Grefier","Afumati","Dolj","19.05.2022","Declaraţie de avere"
"GROSU N ELENA MADALINA","Comuna Afumati","Consilier Asistent","Afumati","Ilfov","15.06.2022","Declaraţie de avere"
"DUMĂNICĂ V GABRIEL","Comuna Afumati","Primar","Afumati","Ilfov","14.06.2022","Declaraţie de avere"
"Nica Gh. Elena","Inalta Curte De Casatie Si Justitie","Grefier","Afumati","Ilfov","20.05.2022","Declaraţie de avere"
"TULCAN P PETRU","Agentia Pentru Protectia Mediului","Referent Superior","Afumati","Ilfov","19.05.2022","Declaraţie de avere"
"Pena s Izabella","Scoala Gimnaziala Nr. 1","Director","Afumati","Ilfov","22.02.2022","Declaraţie de avere"
"BULGARU N ANIȘOARA","Agentia Nationala A Functionarilor Publici","Expert superior","Afumati","Ilfov","09.06.2022","Declaraţie de avere"
"Stoica P Robert Ionuț","Institutul Clinic Fundeni","Șef secție","Afumati","Ilfov","28.06.2022","Declaraţie de avere"
"Popa v Ioana","Institutul Clinic Fundeni","Șef serviciu","Afumati","Ilfov","20.05.2022","Declaraţie de avere"
"TOMA M ALEXANDRU ANGEL GIANI","Comuna Afumati","Politist local","Afumati","Ilfov","09.06.2022","Declaraţie de avere"
"Anuta G Corina","Universitatea Tehnica De Constructii Bucuresti","Șef birou","Afumati","Ilfov","19.05.2022","Declaraţie de avere"
"MARIN V ELENA BEATRICE","Comuna Afumati","Consilier Asistent","Afumati","Ilfov","31.05.2022","Declaraţie de avere"
"MARIN V ELENA BEATRICE","Comuna Afumati","Consilier Asistent","Afumati","Ilfov","31.05.2022","Declaraţie de avere"
"MARIN V ELENA BEATRICE","Comuna Afumati","Consilier Asistent","Afumati","Ilfov","06.04.2022","Declaraţie de avere"
"FLOREA P CRISTINA GABRIELA","Comuna Afumati","Referent Principal","Afumati","Ilfov","06.06.2022","Declaraţie de avere"
"CHIURCIU GHE NICOLETA","Comuna Afumati","Referent Asistent","Afumati","Ilfov","06.06.2022","Declaraţie de avere"
"PETRE C FLORIN CRISTINEL","Comuna Afumati","Politist local","Afumati","Ilfov","15.06.2022","Declaraţie de avere"
"PASCU A VIOREL","Comuna Afumati","Secretar General","Afumati","Ilfov","02.06.2022","Declaraţie de avere"
"NASTASA F LAURENTIU FLORENTIN","Comuna Afumati","Politist local","Afumati","Ilfov","03.06.2022","Declaraţie de avere"
