"Nume Prenume","Institutie","Functie","Localitate","Judet","Data completare declaratie","Tip declaratie"
"ANCA I IONELA-NICOLETA","Spitalul Orasenesc Abrud","Manager","Abrud","Alba","30.05.2022","Declaraţie de avere"
"FURDUI I.V MONICA","Spitalul Orasenesc Abrud","Sef Serviciu Administrativ","Abrud","Alba","10.06.2022","Declaraţie de avere"
"KOPENETZ L.S LORAND-MARTON","Spitalul Orasenesc Abrud","Membru în consiliul de administrație","Abrud","Alba","14.06.2022","Declaraţie de avere"
"BERINDEIE A ANGELA-FLOAREA","Liceul Corneliu Medrea-zlatna","Profesor","Abrud","Alba","15.06.2022","Declaraţie de avere"
"UTIU I IOAN","Judetul Alba","Aleși locali - Consilieri județeni","Abrud","Alba","14.06.2022","Declaraţie de avere"
"MATEI A IOAN","Judetul Alba","Aleși locali - Consilieri județeni","Abrud","Alba","06.06.2022","Declaraţie de avere"
"SZUCS S ILEANA SANDA","Serviciul Local De Utilitate Publica Abrud","Șef serviciu","Abrud","Alba","14.06.2022","Declaraţie de avere"
"TOMA T GAROFITA RAMONA","Scoala Gimnaziala Ion Agarbiceanu- Bucium","Director","Abrud","Alba","15.06.2022","Declaraţie de avere"
"NARITA I DORIN","D.R.D.P Cluj -Sectia Drumuri Nationale Alba","SEF DISTRICT","Abrud","Alba","10.06.2022","Declaraţie de avere"
"SICOE I NICOLAE","Administrația Județeană a Finanțelor Publice Alba","Consilier superior","Abrud","Alba","10.06.2022","Declaraţie de avere"
"SIMINA N MARIA MARINELA","Directia Generala Regionala A Finantelor Publice Brasov","Referent casier","Abrud","Alba","07.02.2022","Declaraţie de avere"
"BOTAR ANGELA M ANGELA","Oras Abrud","Consilier","Abrud","Alba","16.05.2022","Declaraţie de avere"
"LEACH IN NAIANA IOANA","Oras Abrud","Consilier","Abrud","Alba","10.06.2022","Declaraţie de avere"
"SUCIU M ADRIAN","Municipiul Arad","Politist local","Abrud","Alba","19.05.2022","Declaraţie de avere"
"LAZAR A DANIEL MIHAI","Oras Abrud","Consilier local","Abrud","Alba","08.06.2022","Declaraţie de avere"
"MERA V TIBERIU CONSTANTIN","Oras Abrud","Șef serviciu","Abrud","Alba","08.06.2022","Declaraţie de avere"
"MERA V TIBERIU CONSTANTIN","Oras Abrud","Șef serviciu","Abrud","Alba","20.05.2022","Declaraţie de avere"
"VATCA I DANIEL","Oras Abrud","Arhitect sef","Abrud","Alba","14.06.2022","Declaraţie de avere"
"SIMINA P AURELIAN PETRU","Oras Abrud","Consilier juridic","Abrud","Alba","26.05.2022","Declaraţie de avere"
"PRIPON I PETRONELA OANA","Oras Abrud","Consilier","Abrud","Alba","09.06.2022","Declaraţie de avere"
"PLESA N VIRGINIA ANA","Oras Abrud","Consilier","Abrud","Alba","13.06.2022","Declaraţie de avere"
"MERA I GABRIEL MIHAI","Oras Abrud","Consilier Achizitii Publice","Abrud","Alba","10.06.2022","Declaraţie de avere"
"STAN G MAGDALENA","Oras Abrud","Consilier local","Abrud","Alba","08.06.2022","Declaraţie de avere"
"SICOE I DANIEL","Oras Abrud","Consilier local","Abrud","Alba","14.06.2022","Declaraţie de avere"
"NEMES I DAN IOAN","Oras Abrud","Consilier local","Abrud","Alba","09.06.2022","Declaraţie de avere"
"HODAN V DIANA MIRA","Oras Abrud","Secretar General","Abrud","Alba","26.05.2022","Declaraţie de avere"
"EICHINGER A FELICIA","Oras Abrud","Consilier","Abrud","Alba","13.05.2022","Declaraţie de avere"
"DAVID D GABRIELA MARIANA","Oras Abrud","Consilier","Abrud","Alba","18.05.2022","Declaraţie de avere"
"AVRAM JURCA N NARCIS ROMEO","Oras Abrud","Consilier local","Abrud","Alba","08.06.2022","Declaraţie de avere"
"CRISAN A EMIL","Oras Abrud","Consilier local","Abrud","Alba","07.06.2022","Declaraţie de avere"
"CIAMA S MARIA MELANIA","Oras Abrud","Consilier","Abrud","Alba","26.05.2022","Declaraţie de avere"
"DIG N LUCIA","Oras Abrud","Consilier","Abrud","Alba","08.06.2022","Declaraţie de avere"
"COSTEA A RODICA","Oras Abrud","Consilier","Abrud","Alba","13.05.2022","Declaraţie de avere"
"COSTEA T ANGELA DANIELA","Oras Abrud","Consilier","Abrud","Alba","13.05.2022","Declaraţie de avere"
"CIOARA PN ANAMARIA","Oras Abrud","Consilier","Abrud","Alba","09.06.2022","Declaraţie de avere"
"BORLEA M VALENTIN SORIN","Oras Abrud","Consilier","Abrud","Alba","15.06.2022","Declaraţie de avere"
"Toader V Cristina Maria","Scoala Gimnaziala Scarisoara","Profesor","Abrud","Alba","15.06.2022","Declaraţie de avere"
"Plic D.C Danut Marian","Unitatea Militara 02525","Comandant pluton","Abrud","Alba","24.05.2022","Declaraţie de avere"
"MERA T RODICA","Oras Abrud","Consilier","Abrud","Alba","08.06.2022","Declaraţie de avere"
"MERA T RODICA","Oras Abrud","Consilier","Abrud","Alba","13.05.2022","Declaraţie de avere"
