"Nume Prenume","Institutie","Functie","Localitate","Judet","Data completare declaratie","Tip declaratie"
"FURDUI GHE SORINA DANIELA","Oras Abrud","Consilier juridic","Abrud","Alba","09.06.2022","Declaraţie de avere"
"FURDUI GHE SORINA DANIELA","Spitalul Orasenesc Abrud","Membru în consiliul de administrație","Abrud","Alba","09.06.2022","Declaraţie de avere"
"COSTEA IV LEONTIN","Liceul Horea,closca Si Crisan- Abrud","Expert Proiect","Abrud","Alba","15.05.2022","Declaraţie de avere"
"BORZA A ADINELA CRISTINA","Comuna Ciuruleasa","Funcții publice generale","Abrud","Alba","10.03.2022","Declaraţie de avere"
"DAVID P MARIUS GHEORGHE","Oras Abrud","Consilier local","Abrud","Alba","09.06.2022","Declaraţie de avere"
"Marin Sandor St. MARIN","Oras Abrud","Consilier","Abrud","Alba","08.06.2022","Declaraţie de avere"
"TOMUS I DOREL","Cupru Min SA Abrud","Director adjunct","Abrud","Alba","14.06.2022","Declaraţie de avere"
"FURDUI I.o BOGDAN CATAALIN","Institutul De Cercetare-dezvoltare Pentru Pomicultura Maracineni","Consilier local","Abrud","Alba","14.06.2022","Declaraţie de avere"
"SIMINA T ANCA","Oras Abrud","Consilier local","Abrud","Alba","15.06.2022","Declaraţie de avere"
"Moldovan S Iulia","Parchetul de pe lângă Judecătoria Blaj","Grefier","Abrud","Alba","02.06.2022","Declaraţie de avere"
"SIMINA I SERGIU DAN","Oras Abrud","Viceprimar","Abrud","Alba","15.06.2022","Declaraţie de avere"
"ALBU A CRISTIAN ALEXANDRU","Oras Abrud","Primar","Abrud","Alba","10.06.2022","Declaraţie de avere"
"SIMINA N NICOLAE","Oras Abrud","Aleși locali - Consilieri locali","Abrud","Alba","09.06.2022","Declaraţie de avere"
"RATIU I TIBERIU-IOAN","Cupru Min SA Abrud","Director general","Abrud","Alba","15.06.2022","Declaraţie de avere"
"Ștefani M Sebastian-Claudiu","Universitatea 1 Decembrie 1918 Alba Iulia","Manager proiect","Abrud","Alba","09.06.2022","Declaraţie de avere"
"Ștefani M Sebastian-Claudiu","Serviciul Public Primaria Abrud","Consilier","Abrud","Alba","14.06.2022","Declaraţie de avere"
"COROIU D MIHAELA-DANIELA","Agentia de plati și Interventie pentru Agricultura Alba","Consilier superior","Abrud","Alba","30.05.2022","Declaraţie de avere"
"Toderaș I Felician","Ministerul Apararii Nationale","Auditor intern","Abrud","Alba","05.04.2022","Declaraţie de avere"
"MIRCEA M DAVID","Spitalul Orasenesc Abrud","Membru în consiliul de administrație","Abrud","Alba","06.03.2022","Declaraţie de avere"
"Dregan D Cătălin-Valentin","U.m. Nr. 02565","Șef birou","Abrud-Sat","Alba","23.05.2022","Declaraţie de avere"
